city,preco_compra,tipo,razao_social,distribuidora,bairro,data_coleta,fornecedor,state,modalidade_de_compra,preco_venda,endereco,bandeira,id
CRUZEIRO DO SUL,-,Diesel,R. C. de Lima,-,Centro,20/04/2011,-,AC,-,"2,780","Avenida Boulevard Thaumaturgo, 1031",PETROBRAS DISTRIBUIDORA S.A,6-532-618-0
CRUZEIRO DO SUL,-,Diesel,M. Nascimento de Souza,-,Miritizal,20/04/2011,-,AC,-,"2,780","Margem Esquerda do Rio Juruá, S/n",BRANCA,6-532-618-1
CRUZEIRO DO SUL,-,Diesel,L & S Comércio Varejista de Combustíveis Ltda,-,Lagoa,20/04/2011,-,AC,-,"2,780","Margem Esquerda do Rio Juruá, S/n Porto do Aterro",PETROBRAS DISTRIBUIDORA S.A,6-532-618-2
CRUZEIRO DO SUL,-,Diesel,L & S Comércio Varejista de Combustíveis Ltda,-,Cohab,20/04/2011,-,AC,-,"2,780","Rua Tarauaca, 400",PETROBRAS DISTRIBUIDORA S.A,6-532-618-3
CRUZEIRO DO SUL,-,Diesel,Aerobran Distribuidora Importacao e Exportacao Ltda,-,Cobal,20/04/2011,-,AC,-,"2,780","Avenida Getulio Vargas, S/n Esquina Com Rua Amazonas",BRANCA,6-532-618-4
CRUZEIRO DO SUL,-,Diesel,San Marino Petroleo Ltda.,-,Copacabana,20/04/2011,-,AC,-,"2,790","Avenida Copacabana, 440",BRANCA,6-532-618-5
CRUZEIRO DO SUL,-,Diesel,L & S Comércio Varejista de Combustíveis Ltda,-,Centro,20/04/2011,-,AC,-,"2,790","Margem Esquerda do Rio Jurua, S/n Proximo Porto do Buraco",PETROBRAS DISTRIBUIDORA S.A,6-532-618-6
CRUZEIRO DO SUL,-,Diesel,R. C. de Lima,-,Vinte e Cinco de Agosto,20/04/2011,-,AC,-,"2,790","Avenida Vinte e Cinco de Agosto, 1350",PETROBRAS DISTRIBUIDORA S.A,6-532-618-7
CRUZEIRO DO SUL,-,Diesel,Auto Posto Dois Corações Ltda,-,Centro,20/04/2011,-,AC,-,"2,790","Avenida Boulevard Thaumaturgo, 210",BRANCA,6-532-618-8
CRUZEIRO DO SUL,-,Etanol,R. C. de Lima,-,Vinte e Cinco de Agosto,20/04/2011,-,AC,-,"2,790","Avenida Vinte e Cinco de Agosto, 1350",PETROBRAS DISTRIBUIDORA S.A,6-643-618-0
CRUZEIRO DO SUL,-,Etanol,San Marino Petroleo Ltda.,-,Copacabana,20/04/2011,-,AC,-,"2,790","Avenida Copacabana, 440",BRANCA,6-643-618-1
CRUZEIRO DO SUL,-,Etanol,L & S Comércio Varejista de Combustíveis Ltda,-,Lagoa,20/04/2011,-,AC,-,"2,790","Margem Esquerda do Rio Juruá, S/n Porto do Aterro",PETROBRAS DISTRIBUIDORA S.A,6-643-618-2
CRUZEIRO DO SUL,-,Etanol,R. C. de Lima,-,Centro,20/04/2011,-,AC,-,"2,790","Avenida Boulevard Thaumaturgo, 1031",PETROBRAS DISTRIBUIDORA S.A,6-643-618-3
CRUZEIRO DO SUL,-,Etanol,L & S Comércio Varejista de Combustíveis Ltda,-,Cohab,20/04/2011,-,AC,-,"2,790","Rua Tarauaca, 400",PETROBRAS DISTRIBUIDORA S.A,6-643-618-4
CRUZEIRO DO SUL,-,GLP,R. C. de Lima,-,João Alves,20/04/2011,,AC,-,"50,00","Avenida Lauro Muller, 943",-,6-462-618-0
CRUZEIRO DO SUL,-,GLP,A Gas Comércio Ltda -,-,Remanso,20/04/2011,,AC,-,"50,00","Estrada do Remanso, 810",-,6-462-618-1
CRUZEIRO DO SUL,"31,79",GLP,R. C. de Lima,FOGAS,Aeroporto Velho,20/04/2011,,AC,CIF,"50,00","Avenida 25 de Agosto, 5420",-,6-462-618-2
CRUZEIRO DO SUL,-,GLP,L. S. G. Gaspar,-,Artur Maia,20/04/2011,,AC,-,"53,00","Rua Solimões, 0719 Esq. C/ Rua Canamaris",-,6-462-618-3
CRUZEIRO DO SUL,-,GLP,R. C. de Lima,-,Centro,20/04/2011,,AC,-,"53,00","Avenida Boulevard Thaumaturgo, 1031",-,6-462-618-4
CRUZEIRO DO SUL,-,Gasolina,L & S Comércio Varejista de Combustíveis Ltda,-,Cohab,20/04/2011,-,AC,-,"3,500","Rua Tarauaca, 400",PETROBRAS DISTRIBUIDORA S.A,6-487-618-0
CRUZEIRO DO SUL,-,Gasolina,R. C. de Lima,-,Centro,20/04/2011,-,AC,-,"3,500","Avenida Boulevard Thaumaturgo, 1031",PETROBRAS DISTRIBUIDORA S.A,6-487-618-1
CRUZEIRO DO SUL,-,Gasolina,L & S Comércio Varejista de Combustíveis Ltda,-,Centro,20/04/2011,-,AC,-,"3,500","Margem Esquerda do Rio Jurua, S/n Proximo Porto do Buraco",PETROBRAS DISTRIBUIDORA S.A,6-487-618-2
CRUZEIRO DO SUL,-,Gasolina,Auto Posto Dois Corações Ltda,-,Centro,20/04/2011,-,AC,-,"3,500","Avenida Boulevard Thaumaturgo, 210",BRANCA,6-487-618-3
CRUZEIRO DO SUL,-,Gasolina,Aerobran Distribuidora Importacao e Exportacao Ltda,-,Cobal,20/04/2011,-,AC,-,"3,500","Avenida Getulio Vargas, S/n Esquina Com Rua Amazonas",BRANCA,6-487-618-4
